"Ward","Total2010","White2010","Black2010","Asian2010","HisLat2010","Other2010","Whiteperc","Blackperc","Asianperc","Hisperc","otherperc","PERCENT OF HOUSING CROWDED","PERCENT HOUSEHOLDS BELOW POVERTY","PERCENT AGED 16+ UNEMPLOYED","PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA","PERCENT AGED UNDER 18 OR OVER 64","PER CAPITA INCOME","HARDSHIP INDEX","Birth Rate","General Fertility Rate","Low Birth Weight","Prenatal Care Beginning in First Trimester","Preterm Births","Teen Birth Rate","Assault (Homicide)","Breast cancer in females","Cancer (All Sites)","Colorectal Cancer","Diabetes-related","Firearm-related","Infant Mortality Rate","Lung Cancer","Prostate Cancer in Males","Stroke (Cerebrovascular Disease)","Childhood Blood Lead Level Screening","Childhood Lead Poisoning","Gonorrhea in Females","Gonorrhea in Males","Tuberculosis","Below Poverty Level","Crowded Housing","Dependency","No High School Diploma","Per Capita Income","Unemployment"
1,56149,25337,3749,1704,24204,1155,0.451245792445101,0.0667687759354575,0.0303478245382821,0.431067338688133,0.0205702683930257,2.61534132397727,15.4337815455306,7.17407968084917,13.5179540152095,23.3642718481184,39259.5604374076,14.7115888083492,18.5601702612691,61.4668560437408,8.38897932287307,76.5074444780851,10.2663912091043,55.0050704375857,8.46888991789702,12.6138435234822,143.053126502698,12.945131703147,95.0145950951932,7.87860870184687,4.78367379650573,31.2975066341342,16.9851787209033,32.8243316888992,332.888224189211,0.648593919749239,188.04796345438,173.695786211687,5.34204171044898,16.2007622575647,2.42660421378831,24.2884806496999,15.194324030704,35934.8734794921,6.53707100749791
2,55805,42695,3159,3650,5223,1078,0.765074814084759,0.0566078308395305,0.0654063255980647,0.0935937639996416,0.0193172654780038,1.88021682644924,13.3859940865514,6.62572350147836,5.89387510079742,22.1826126691157,72184.7824388496,3.96803153839262,13.5576149090583,43.9199874563211,8.48548696353373,72.3135668846878,9.7315007615805,34.5290135292537,4.79763462055371,20.9859492876982,143.111217632829,14.473869724935,54.9564340112893,4.14826449242899,5.51571364573067,32.5410644207508,17.1942854582923,27.2919415822955,294.624874115223,0.292188871964878,197.758905116029,200.218847773497,4.34529701639638,13.9074599050264,1.8161777618493,22.7973335722606,6.64944001433563,70207.5295045247,5.35952334020249
3,53039,11892,34051,3984,1975,1137,0.22421237202813,0.64199928354607,0.0751145383585663,0.0372367503158054,0.0214370557514282,2.56889081619186,25.6981296781614,16.4368181903882,14.27467335357,31.7221063745546,35863.2694243858,41.2924074737457,16.8394747261449,63.462472897302,11.5985218424178,75.9405041573182,12.2682837157563,53.3604894511586,19.9721865042704,27.4383378268821,210.998625539697,25.0437621372952,81.1927091385584,16.3470936480703,10.2555308358001,60.9762627500518,54.3110597861951,53.2025094741605,443.553221214578,0.586986934142801,957.227785214653,992.854310978714,7.44453138256754,23.7251267934916,2.44769132148042,31.6361300175343,16.2178717547465,35836.5676200532,15.173770244537
4,54589,12421,34409,4250,2007,1502,0.227536683214567,0.63032845445053,0.0778545128139369,0.0367656487570756,0.0275147007638902,1.98658520947444,24.0768048507941,15.6100826173771,10.7000604517394,29.4931488028724,37915.5359321475,32.771290919416,11.8754785762699,44.9424774221913,9.97333162358717,76.9383758632692,10.1002234882485,26.9074685376175,13.0652823828977,27.026450383777,186.800294931213,23.8295279268717,63.3867720603052,12.1346498378794,9.34872043818352,50.4603216765282,45.2329425342102,42.0618696074301,413.635439374233,0.331695030134276,764.437943541739,721.975057245965,5.04769825422704,22.5822601623038,2.27746066057264,30.0150250050376,11.5243620509626,38605.1771052776,12.9467694956859
5,51455,11940,32685,3368,1915,1547,0.232047420075794,0.635215236614518,0.0654552521620834,0.0372169857156739,0.0300651054319308,2.26133514721601,24.9314099698766,15.3081352638228,10.0880633563308,31.864335827422,28714.4617432708,36.3758624040424,12.9215314352347,51.7842367116898,10.6872568263531,76.0720824020989,10.3579263434069,37.0952852006608,20.7408570595666,32.7525740938684,199.542913225148,20.0183228063356,63.972921970654,18.390574288213,10.9382936546497,53.8641317656204,42.1052492469148,41.2259469439316,418.082023127004,0.680742396268584,990.219671557672,882.836616460985,8.6747760178797,24.5913808181907,2.59850549023419,32.9135827422019,11.0281488679429,28581.5916237489,12.6287746574677
6,52341,226,50903,27,536,649,0.00431783878794826,0.972526317800577,0.000515847996790279,0.0102405380103552,0.0123994574043293,3.62362201715672,33.4329588658986,25.0018111996332,19.307894384899,41.1965667449991,16124.30501901,72.2827229132038,17.7283831031123,80.6843736267935,13.9934372671519,71.4038039013393,14.6704419097839,86.5785177967559,47.1821058061558,33.7273055539634,252.611256949619,29.0038249173688,89.6441737834585,42.639834928641,13.1882004547105,70.3623832177452,61.4603962476835,59.8444259758125,431.090357463556,1.79402953707419,2376.38447870694,2077.96659788693,7.47453621443992,29.7848684587608,3.94826235647007,42.2264954815537,20.1317475783802,16450.9315641658,20.1491259242277
7,51581,778,47283,89,2569,862,0.015083073224637,0.916674744576491,0.00172544153855102,0.0498051608150288,0.0167115798452919,3.47393226187937,28.2743238789477,19.356662336907,18.5062251604273,38.8026773424323,18886.9646963029,60.6437447897482,15.8111940443186,72.3635447160776,13.2300866598166,74.0100482735891,14.5842345049534,66.1692328570598,34.1082336519261,31.3089470929218,233.861776623175,26.1994629805549,89.0952308020395,31.2715302146139,13.6286054942711,60.2278183827378,52.7590430584905,51.1360636668541,461.230825303891,1.04297706519843,1555.91846028576,1139.52853957853,7.91959830170024,27.2613171516644,4.14485954130397,40.3377193152517,19.5399119830945,18208.7831372017,16.7631259572323
8,51687,292,49881,73,695,746,0.00564938959506259,0.965058912299031,0.00141234739876565,0.0134463211252346,0.0144330295819065,2.85612629868245,24.0149747518718,21.2657012401571,14.4189215856985,39.8971888482597,21061.9159943506,54.0223073500106,14.1730377077408,68.936041944783,13.992758333817,73.774564203765,14.6562404473078,64.0793100779693,34.5565113084528,33.3506452299418,231.43713893242,27.627374388144,83.9026118753265,31.9361967225801,12.5859423065761,60.1782421111691,52.2339872695262,52.2465320099832,430.433074080523,1.16274691895448,1617.82890862306,1572.22981794262,6.08429198831428,22.5195871302262,2.4974268191228,40.823930582158,15.3260897324279,20838.3830943951,18.2837618743591
9,51519,752,47917,33,2173,644,0.0145965566101827,0.930084046662396,0.000640540383159611,0.0421786137153283,0.012500242628933,3.04520856383082,26.4608532774316,22.4058211533609,18.4540946058736,42.4701605233021,16737.3836836895,60.4482812166385,14.2344921291174,66.2906830489722,13.582794697102,71.4945534657117,13.8939672742095,72.9779382363788,40.2150798734448,35.4796444030358,256.163073817427,32.0567635241367,91.901354839962,38.5552553426891,10.4269221064073,73.4761757798094,58.5239329179526,60.8570605019507,383.723532758992,1.59564218004395,1544.4730351909,1653.50098604398,7.43378559366447,26.2369980007376,3.14186998971253,42.3985500494963,18.9480269415167,16725.7242958908,19.0511869407403
10,51535,9159,9175,139,32587,475,0.177723876976812,0.178034345590375,0.00269719608033375,0.63232754438731,0.0092170369651693,5.26050257106821,22.4974716212283,13.9691103133793,26.6810439507131,41.9840904239837,17760.8871058504,62.6647715145047,16.7180324051615,81.16517900456,9.32120888716406,73.0964994663821,12.9980925584554,58.7599825361405,20.1834927719026,21.3674997574464,203.720131949161,18.3906490734452,78.8749005530222,19.5586203550985,8.86054526050257,51.1116716794412,36.5506607160182,42.7459571165228,404.931322402251,0.998026583875036,778.330700070341,550.320131645969,4.61024158338993,20.2965460366741,6.67854079751625,42.3066304453284,28.5325836809935,16814.1109537208,13.9366488794023
